model,tune_target_flag,hyperparameter,search_space,search_mode,explanation
SMP Segmentation,seg,learning_rate,"loguniform(5e-5, 5e-4)",random,"Controls the step size during gradient descent. Too high causes divergence; too low causes slow convergence or getting stuck in local minima. Log-uniform sampling is appropriate since learning rates span orders of magnitude."
SMP Segmentation,seg,weight_decay,"loguniform(1e-6, 1e-3)",random,"L2 regularization that penalizes large weights, helping prevent overfitting on the relatively small wildfire dataset. Needs careful balancing: too high underfits, too low overfits."
SMP Segmentation,seg,focal_gamma,"choice([1.5, 2.0, 2.5])",random,"Only active with --focal-loss. Controls how much the loss focuses on hard, misclassified examples. Higher values down-weight easy negatives more aggressively, which is critical given the severe class imbalance between fire and no-fire pixels."
SMP Segmentation,seg,learning_rate,"grid_search([5e-5, 1e-4, 2e-4])",grid,"Same as random mode. Grid search covers a coarser but exhaustive set of values for systematic comparison."
SMP Segmentation,seg,weight_decay,"grid_search([1e-5, 1e-4])",grid,"Same as random mode. Grid search tests two representative regularization strengths."
CNN Scratch,scratch,learning_rate,"loguniform(5e-5, 5e-4)",random,"The CNN scratch model is trained from random initialization, making the learning rate especially critical: too high and the shallow network diverges, too low and it fails to learn spectral features within the epoch budget."
CNN Scratch,scratch,weight_decay,"loguniform(1e-6, 1e-3)",random,"Regularizes the small CNN to avoid memorizing training patches. Particularly important here because the model has no pretrained prior and can overfit quickly on repeated fire textures."
CNN Scratch,scratch,dropout,"choice([0.1, 0.2, 0.3, 0.4])",random,"Applied before the final classification layer. Acts as a stochastic regularizer that forces the network to learn redundant representations, reducing sensitivity to specific spectral patterns. Important for a lightweight scratch model with limited capacity."
CNN Scratch,scratch,pos_weight,"choice([1.0, 2.0, 5.0, 10.0])",random,"Weight applied to the positive (fire) class in BCEWithLogitsLoss. Fire patches are rare in the dataset, so increasing pos_weight forces the model to pay more attention to fire examples and reduces false negatives. Currently commented out in code."
CNN Scratch,scratch,batch_size,"choice([8, 16, 32])",random,"Affects gradient noise and convergence speed. Smaller batches introduce more noise (acts as regularization) but are slower; larger batches give more stable gradients but may converge to sharper minima. Currently commented out in code."
UNet Scratch,unet_scratch,learning_rate,"loguniform(5e-5, 5e-4)",random,"The UNet scratch model is a segmentation network trained from scratch, making the learning rate the most impactful hyperparameter. It governs how fast the encoder-decoder weights are updated to produce accurate per-pixel fire masks."
UNet Scratch,unet_scratch,weight_decay,"loguniform(1e-6, 1e-3)",random,"Regularizes the scratch UNet, which has no pretrained encoder and is prone to overfitting the spatial patterns of fire patches. Helps the model generalize across different geographic regions and fire types."
UNet Scratch,unet_scratch,batch_size,"choice([8, 16, 32])",random,"For segmentation models, batch size affects the quality of BatchNorm statistics (critical in UNet blocks) and the gradient signal. Smaller batches may help with noisy BN but slow training; larger batches stabilize BN estimates."
YOLO,yolo,lr0,"loguniform(5e-4, 1e-2)",random,"Initial learning rate for the Ultralytics YOLO trainer (uses cosine annealing schedule). Determines how aggressively the detection head adapts to the multispectral input. YOLO is already pretrained on RGB, so a moderate lr0 is needed to avoid destroying learned features."
YOLO,yolo,weight_decay,"loguniform(1e-4, 1e-2)",random,"Regularization for the YOLO backbone and detection head. Since YOLO is fine-tuned from RGB weights on 8-channel satellite data, weight decay prevents the adapted layers from overfitting to the limited number of wildfire scenes."
YOLO,yolo,batch,"choice([8, 16, 32])",random,"YOLO's mosaic augmentation and anchor assignment are batch-size dependent. Larger batches improve anchor statistics and detection stability but require more GPU memory. Tuning this finds the best trade-off for the available hardware."
